Source Code (sc),Language (slg),Source Type (fmt),Source Name (sn),Source Name - Native Language (asn),Directory Name (dn),Status Name (std),Discontinued Date (dsd),Type of  Coverage - Article Level (lva),Type of  Coverage - Source Level (lvs),Online Date (od),First Issue Online (fio),Description - English Language (de),Description - Native Language (dea),Frequency (frp),Online Availability Target (lag),Update Schedule (upn),External Notes (ntx),Pseudo-IP (pip),Source Web Site Address (url),Publisher Code (pbc),Publisher (pub),Circulation (cir),Circulation Source Code (cis),Circulation Source Name (csn),Primary Source Type Code (pst),Primary Source Type (psd),Source Family Group Code (sfg),Region of Origin Group Code (roo),Most Recent Issue Online (mri)
BUSIDA,English,article,Business Daily,Business Daily,Business Daily (Kenya),Active,,Full Text,Full Coverage,20130327,20130321,Independent daily newspaper based in Nairobi and covering the latest business news and opportunities in Kenya and in the whole East African region. Country of origin: Kenya,Independent daily newspaper based in Nairobi and covering the latest business news and opportunities in Kenya and in the whole East African region. Country of origin: Kenya,Daily,Same day as publication date,11 a.m. (GMT),Does not include tables.,NMGL,http://www.businessdailyafrica.com,NMGL,Nation Media Group Limited,12000.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20210122
BUSMEDI,English,article,Business Day,Business Day,Business Day (Nigeria),Active,,Full Text,Full Coverage,20140219,20131030,"Daily business newspaper based in Lagos, Nigeria. It publishes from Monday to Friday and circulates in Nigeria and Ghana. Country of origin: Nigeria","Daily business newspaper based in Lagos, Nigeria. It publishes from Monday to Friday and circulates in Nigeria and Ghana. Country of origin: Nigeria",Daily,Continuously updated,Throughout the day,,BUSMED,http://www.businessday.ng,BUSMED,Business Day Media Ltd.,15000.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
MEWBUD,English,article,Business Day,Business Day,Business Day (South Africa),Active,,Full Text,Full Coverage,20010621,20081211,"Business, economic, political and sports news from South Africa. Country of origin: South Africa","Business, economic, political and sports news from South Africa. Country of origin: South Africa",Monday-Friday,Same day as publication date,11 a.m. (GMT),Coverage History: Selected coverage from 29 October 1999 to 11 October 2000||Weekend Update Schedule: Saturday edition by following Monday|Covers the first national print edition. Supplements are excluded.|Does not include tables|,AVUML,http://www.businesslive.co.za,AVUML,Times Media (Pty) Ltd,18053.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
BUSTDY,English,article,Business Today (Egypt via WorldSources Online),Business Today (Egypt via WorldSources Online),Business Today (Egypt via WorldSources Online),Discontinued,20041231.0,Full Text,Selected Coverage,20010731,19970101,"A new title in 1995 from International Business Associates (IBA), Business Today is Egypt's English language business magazine.  It focuses on business and commercial information that affects the country's economy, the largest in the Middle East.  Busines Country of origin: Egypt","A new title in 1995 from International Business Associates (IBA), Business Today is Egypt's English language business magazine.  It focuses on business and commercial information that affects the country's economy, the largest in the Middle East.  Busines Country of origin: Egypt",Monthly,Discontinued,Not available,,FD2,,FD,"FDCH e-Media, Inc.",,,,MAGWEB,"Web Sites: Magazines, Journals & Newsletters",,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20041111
BUSTENG,English,article,Business Today Egypt,Business Today Egypt,Business Today Egypt,Discontinued,20141024.0,Full Text,Full Coverage,20130411,20130318,"Business Today Egypt is the nation’s leading English-language monthly business magazine, providing insight, context, analysis and objectivity on both micro and macro elements of the Egyptian economy.  Country of origin: Egypt","Business Today Egypt is the nation’s leading English-language monthly business magazine, providing insight, context, analysis and objectivity on both micro and macro elements of the Egyptian economy.  Country of origin: Egypt",Monthly,Discontinued,Not available,Publisher cannot produce reliable data format.,ALBWBA,http://www.businesstodayegypt.com,INBSA,International Business Associates,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20130430
ZIMBBW,English,article,Business Weekly,Business Weekly,Business Weekly (Zimbabwe),Active,,Full Text,Full Coverage,20191213,20191209,"Business Weekly provides news and updates on mining, agriculture, technology, tourism, market data and sector analysis. Country of origin: Zimbabwe","Business Weekly provides news and updates on mining, agriculture, technology, tourism, market data and sector analysis. Country of origin: Zimbabwe",Weekly,Same day as publication date,Monday,Source is government owned or controlled.,ASINET2,https://www.ebusinessweekly.co.zw/,PBZIMP,Zimpapers,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); Southern Africa (SOUAFR); Zimbabwe (ZIMBAB),20210118
BWOG,English,article,Business World Ghana,Business World Ghana,Business World Ghana,Discontinued,20201026.0,Full Text,Full Coverage,20130130,20121005,"Business magazine dedicated to all economic and business opportunities and news in Ghana, it covers several industries such as telecommunications, oil & gas, finance, real estate etc. Country of origin: Ghana","Business magazine dedicated to all economic and business opportunities and news in Ghana, it covers several industries such as telecommunications, oil & gas, finance, real estate etc. Country of origin: Ghana",Monday-Friday,Discontinued,Not available,This source has stopped updating.,CIOBW,http://www.businessworldghana.com,CIOBW,CIO Business World,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); Ghana (GHANA); West Africa (WAFR),20200818
CAJNEW,English,article,CAJ News,CAJ News,CAJ News,Active,,Full Text,Full Coverage,20191213,20191212,"Centre for African Journalists, CAJ News, is a news agency that provides regional, continental and international news on Investing, Information Technology, Mobile and Telecommunications, Energy and Petroleum, Mining and Engineering, Developmental, Political and Sports news, primarily for Africa. It covers South Africa, countries in the Southern African Development Community (SADC), East Africa, West Africa and North Africa regional blocks. Country of origin: South Africa","Centre for African Journalists, CAJ News, is a news agency that provides regional, continental and international news on Investing, Information Technology, Mobile and Telecommunications, Energy and Petroleum, Mining and Engineering, Developmental, Political and Sports news, primarily for Africa. It covers South Africa, countries in the Southern African Development Community (SADC), East Africa, West Africa and North Africa regional blocks. Country of origin: South Africa","Daily source, irregular weekend edition",Same day as publication date,Monday-Friday,,ASINET2,https://cajnewsafrica.com/,PBCAJ,Centre for African Journalists,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
LCALM,French,article,Le Calame,Le Calame,Le Calame (French Language),Active,,Full Text,Full Coverage,20160129,20151202,Le Calame is the independent Mauritanian weekly magazine. Country of origin: Mauritania,Le Calame est un magazine hebdomadaire indépendant mauritanien. Pays d'origine: Mauritanie,Weekly,2 days after publication date,Wednesday,,AFIIL1,http://www.lecalame.info,LECALA,Le Calame,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); Mauritania (MAURTN); West Africa (WAFR),20210120
CAMCOM,French,article,Camereco.com,Camereco.com,Camereco.com (French Language),Discontinued,20180725.0,Full Text,Full Coverage,20130710,20130628,Website dedicated to financial and business news in Cameroon. Country of origin: Cameroon,Site web couvrant l’actualité économique et financière du Cameroun. Pays d'origine: Cameroun,Daily,Discontinued,Not available,This source has stopped updating.,YOGAM,http://www.cynomedia.com/,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Cameroon (CAMER); Central Africa (CEAFR),20170208
CAMEROST,English,article,Cameroon POSTline,Cameroon POSTline,Cameroon POSTline,Active,,Full Text,Full Coverage,20120622,20120626,"Cameroon POSTline is the online edition of The Post, an English language newspaper which covers news, opinion, interviews, regular columns, sports, human interest, health, literature, culture, the environment, business, entertainment, religion and regular features. Country of origin: Cameroon","Cameroon POSTline is the online edition of The Post, an English language newspaper which covers news, opinion, interviews, regular columns, sports, human interest, health, literature, culture, the environment, business, entertainment, religion and regular features. Country of origin: Cameroon",Twice weekly,As available,2 p.m. (GMT),,ALBWBA,http://www.cameroonpostline.com,CAMPOST,Cameroon PostLine,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Cameroon (CAMER); Central Africa (CEAFR),20201212
CAMTRIB,French,article,Cameroon Tribune,Cameroon Tribune,Cameroon Tribune (French Language),Active,,Full Text,Full Coverage,20150408,20150407,"Daily newspaper focusing on local and international news, business, politics, and sports. Country of origin: Cameroon","Journal quotidien portant sur l'actualité internationale, le sport, le monde des affaires et la politique. Pays d'origine: Cameroun",Monday-Friday,Same day as publication date,Monday-Friday,Does not include tables | Source is government owned or controlled.,ALBWBA,http://www.cameroon-tribune.cm,PBSOPE,SOPECAM,25000.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Cameroon (CAMER); Central Africa (CEAFR),20210122
CAMRO,English,article,Cameroun24,Cameroun24,Cameroun24,Active,,Full Text,Full Coverage,20210108,20201223,"Cameroun24.net is an online publication focusing on the Cameroonian news mainly and African incidentally. It covers politics, economics, sport, culture, science and education. Country of origin: Cameroon","Cameroun24.net is an online publication focusing on the Cameroonian news mainly and African incidentally. It covers politics, economics, sport, culture, science and education. Country of origin: Cameroon",Daily,Same day as publication date,"Daily, as available",,ALBWBA,http://www.cameroun24.net/,PBCAMTF,Cameroun24,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Cameroon (CAMER); Central Africa (CEAFR),20201203
CMRUN,French,article,Cameroun24,Cameroun24,Cameroun24 (French Language),Active,,Full Text,Full Coverage,20210108,20201031,"Cameroun24 is an online publication focusing on the Cameroonian news mainly and African incidentally. It covers politics, economics, sport, culture, science and education. Country of origin: Cameroon","Cameroun24.net est une publication en ligne centrée sur l'actualité camerounaise principalement et africaine accessoirement, couvrant la politique, l'économie, le sport, la culture, la science et l'éducation. Pays d'origine: Cameroun",Daily,Same day as publication date,"Daily, as available",,ALBWBA,http://www.cameroun24.net/,PBCAMTF,Cameroun24,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Cameroon (CAMER); Central Africa (CEAFR),20210122
MEWCAP,English,article,Cape Argus,Cape Argus,"Cape Argus (Cape Town, South Africa)",Active,,Full Text,Selected Coverage,20010621,20061023,"Metropolitan newspaper from Cape Town, South Africa provides business and financial news coverage of nationaland international news, politics, and human interest stories. Country of origin: South Africa","Metropolitan newspaper from Cape Town, South Africa provides business and financial news coverage of nationaland international news, politics, and human interest stories. Country of origin: South Africa",Monday-Friday,Start of local business day,6 a.m. (GMT),Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/capeargus,INONSA,Independent Online,27245.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201211
CAPBO,English,article,Cape Business Online News,Cape Business Online News,Cape Business Online News (South Africa),Active,,Full Text,Full Coverage,20190420,20190305,"Cape Business News provides business readers with comprehensive news on a monthly basis, with extensive coverage of the Cape's general business trends, events, statistics, new products, services and projects. Country of origin: South Africa","Cape Business News provides business readers with comprehensive news on a monthly basis, with extensive coverage of the Cape's general business trends, events, statistics, new products, services and projects. Country of origin: South Africa",Monthly,Same day as publication date,As available,,ALBWBA,http://www.cbn.co.za/,PBHYPE,Hypenica,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210121
CAPTIM,English,article,Cape Times,Cape Times,"Cape Times (Cape Town, South Africa)",Active,,Full Text,Full Coverage,20061115,20061023,"The Cape Times provide its readers with business, financial and regional news for the Cape Town, South Africa area. Country of origin: South Africa","The Cape Times provide its readers with business, financial and regional news for the Cape Town, South Africa area. Country of origin: South Africa",Monday-Friday,Start of local business day,"6 a.m. (GMT), Monday-Friday",Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/capetimes,INONSA,Independent Online,29523.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201210
CAPTO,English,article,The Cape Towner,The Cape Towner,The Cape Towner (South Africa),Active,,Full Text,Full Coverage,20210107,20201028,"The Cape Towner is a weekly independent newspaper, covering local news, world news, sports, consumer watch, opinion and analysis. Country of origin: South Africa","The Cape Towner is a weekly independent newspaper, covering local news, world news, sports, consumer watch, opinion and analysis. Country of origin: South Africa",Weekly,Same day as publication date,As available,,ALBWBA,https://www.iol.co.za/capetowner,PBINPL,Independent Newspapers (Pty) Ltd,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
CAPTL,English,article,Capital Ethiopia,Capital Ethiopia,Capital Ethiopia,Active,,Full Text,Full Coverage,20131230,20131217,A weekly business newspaper. Country of origin: Ethiopia,A weekly business newspaper. Country of origin: Ethiopia,Monthly,Same day as publication date,As available,There is a data gap between Apr 2018 and Nov 2019.,ASINET2,http://www.capitalethiopia.com,CRWNPBG,Crown Publishing P.L.C.,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Ethiopia (ETHPA),20201231
CTMAR,French,article,Chantiers du Maroc,Chantiers du Maroc,Chantiers du Maroc (French Language),Discontinued,20201103.0,Full Text,Full Coverage,20190519,20190515,"Chantiers du Maroc (CDM) a news magazine of the construction sector in Morocco, published by the Archimedia Group. Country of origin: Morocco","Chantiers du Maroc (CDM) est le premier magazine de l’actualité du secteur de la construction au Maroc, édité par le Groupe Archimedia. Pays d'origine:  Maroc",Irregular,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://chantiersdumaroc.ma,PBARCH,Archimedia Group,,,,MAGWEB,"Web Sites: Magazines, Journals & Newsletters",,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20200713
CHROK,Arabic,article,Al Chourouk,Al Chourouk,"Al Chourouk (Tunisia, Arabic Language)",Active,,Full Text,Full Coverage,20161019,20161018,"National daily newspaper covering national and international news, current affairs and politics. Country of origin: Tunisia","National daily newspaper covering national and international news, current affairs and politics. Country of origin: Tunisia",Daily,As available,As available,,ALBWBA,http://alchourouk.com,PBANWAR,"Dar Anwar Press, Publishing & Distribution",,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20210122
CITTAN,English,article,The Citizen,The Citizen,The Citizen (Tanzania),Active,,Full Text,Full Coverage,20130902,20130408,"National daily newspaper of Tanzania providing the latest general, business, political, cultural and sports news. 
Country of origin: Tanzania","National daily newspaper of Tanzania providing the latest general, business, political, cultural and sports news. 
Country of origin: Tanzania",Daily,Same day as publication date,"Daily, as available",Does not include tables,NMGL,http://www.thecitizen.co.tz,NMGL,Nation Media Group Limited,42595.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Tanzania (TANZA),20210121
CNEAGEN,English,article,CNEgypt,CNEgypt,CNEgypt,Active,,Full Text,Full Coverage,20130411,20130403,"CNEgypt (Company News Egypt) is a blog that specifically focuses and publishing news on Egyptian companies across multiple sectors and industries, including finance, business and economy, IT and telecoms, power, energy and sustainable resources, real estate and development, tourism and hospitality, PR, marketing and media and non-governmental organisations. Country of origin: Egypt","CNEgypt (Company News Egypt) is a blog that specifically focuses and publishing news on Egyptian companies across multiple sectors and industries, including finance, business and economy, IT and telecoms, power, energy and sustainable resources, real estate and development, tourism and hospitality, PR, marketing and media and non-governmental organisations. Country of origin: Egypt",Daily,Continuously updated,"Daily, as available",,ALBWBA,http://www.cnegypt.com,CNEGPT,CNEgypt,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
CNEGTAR,Arabic,article,CNEgypt,CNEgypt,CNEgypt (Arabic Language),Active,,Full Text,Full Coverage,20130411,20130402,CNEgypt (Company News Egypt) is a blog providing news on Egyptian companies across multiple sectors and industries. Country of origin: Egypt,CNEgypt (Company News Egypt) is a blog providing news on Egyptian companies across multiple sectors and industries. Country of origin: Egypt,Daily,Continuously updated,"Daily, as available",,ALBWBA,http://www.cnegypt.com,CNEGPT,CNEgypt,,,,WEBBLG,Blogs: Web-Only News,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210118
COMNIG,English,article,Computer.com,Computer.com,Computer.com,Discontinued,20170315.0,Full Text,Full Coverage,20140401,20131004,"Weekly publication covering Nigerian and Global ICT news, instructional articles by locally based experts, and review articles on computer hardware, software programs, mobile devices, business, leisure travel, global and local websites. Country of origin: Nigeria","Weekly publication covering Nigerian and Global ICT news, instructional articles by locally based experts, and review articles on computer hardware, software programs, mobile devices, business, leisure travel, global and local websites. Country of origin: Nigeria",Irregular,Discontinued,Not available,This source ceased publication.,YKPUB,http://www.y2kpublishing.com/,YKPUB,Y2K Publishing Ltd.,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20151111
DAITCH,English,article,Daily Dispatch,Daily Dispatch,"Daily Dispatch (East London, South Africa)",Active,,Full Text,Full Coverage,20081119,20081119,The Daily Dispatch is an Eastern Cape daily newspaper. Country of origin: South Africa,The Daily Dispatch is an Eastern Cape daily newspaper. Country of origin: South Africa,Monday-Saturday,Start of local business day,4 p.m. (GMT),Does not include tables.,AVUML,http://dispatchlive.co.za,AVUML,Times Media (Pty) Ltd,15207.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
DGUIGN,English,article,Daily Guide Network (Ghana),Daily Guide Network (Ghana),Daily Guide Network (Ghana),Active,,Full Text,Full Coverage,20141203,20141101,"Newspaper published in Accra covering news on business, politics, entertainment, and sports. Formerly known as Daily Guide. Country of origin: Ghana","Newspaper published in Accra covering news on business, politics, entertainment, and sports. Formerly known as Daily Guide. Country of origin: Ghana","Daily source, irregular weekend edition",Same day as publication date,Monday-Saturday,,ASINET2,https://dailyguidenetwork.com,WESTPUB,Western Publication Limited,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Ghana (GHANA); West Africa (WAFR),20210122
DALYIG,English,article,Daily Independent,Daily Independent,Daily Independent (Nigeria),Active,,Full Text,Full Coverage,20150408,20150408,Daily newspaper covering local and regional news. Country of origin: Nigeria,Daily newspaper covering local and regional news. Country of origin: Nigeria,Daily,Irregular,6 p.m. (GMT),Includes tables.,ALBWBA,http://dailyindependentnig.com,PBINNEW,Independent Newspapers Ltd. (Nigeria),15000.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
DAYMO,English,article,Daily Monitor,Daily Monitor,Daily Monitor (Uganda),Active,,Full Text,Full Coverage,20130327,20121215,"Independent daily newspaper covering Uganda, it provides the latest general, business, sports and lifestyle news. Country of origin: Uganda","Independent daily newspaper covering Uganda, it provides the latest general, business, sports and lifestyle news. Country of origin: Uganda",Daily,Same day as publication date,11 a.m. (GMT),Does not include tables,NMGL,http://www.monitor.co.ug,NMGL,Nation Media Group Limited,18757.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Uganda (UGANDA),20210122
DAYNA,English,article,Daily Nation,Daily Nation,Daily Nation (Kenya),Active,,Full Text,Full Coverage,20130327,20120101,"Kenyan national daily newspaper founded more than 50 years ago and with one of the largest circulations in Kenya, it provides the latest general, business, political and sports news. 
Includes the Sunday edition called Sunday Nation. Country of origin: Kenya","Kenyan national daily newspaper founded more than 50 years ago and with one of the largest circulations in Kenya, it provides the latest general, business, political and sports news. 
Includes the Sunday edition called Sunday Nation. Country of origin: Kenya",Daily,Same day as publication date,Noon (GMT),Does not include tables.,NMGL,http://www.nation.co.ke,NMGL,Nation Media Group Limited,170000.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20210122
DAILNW,English,article,Daily News,Daily News,Daily News (South Africa),Active,,Full Text,Full Coverage,20061115,20061023,"The Daily News concentrates on news that is local mainly from the greater Durban area as well as business, financial and world news. Country of origin: South Africa","The Daily News concentrates on news that is local mainly from the greater Durban area as well as business, financial and world news. Country of origin: South Africa",Monday-Friday,Start of local business day,6 a.m. (GMT),Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/dailynews,INONSA,Independent Online,22393.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201209
DNTANZ,English,article,Daily News,Daily News,Daily News (Tanzania),Active,,Full Text,Full Coverage,20160127,20160101,State-owned national newspaper. Country of origin: Tanzania,State-owned national newspaper. Country of origin: Tanzania,"Daily source, irregular weekend edition",Same day as publication date,"Daily, as available","Source is government owned or controlled. | Online content only | Please note, there is a gap in coverage from 16 February 2020 to 19 May 2020",HINDU1,http://dailynews.co.tz,TANZSTA,Tanzania Standard (Newspapers) Ltd.,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Tanzania (TANZA),20210122
DAINEG,English,article,Daily News Egypt,Daily News Egypt,Daily News Egypt,Active,,Full Text,Full Coverage,20081006,20081003,"Independent newspaper covering news, business, politics, cultural news, opinion, arts & culture, lifestyle and analysis from an Egyptian perspective. Country of origin: Egypt","Independent newspaper covering news, business, politics, cultural news, opinion, arts & culture, lifestyle and analysis from an Egyptian perspective. Country of origin: Egypt",Daily,Same day as publication date,"Daily, as available",,ALBWBA,http://www.thedailynewsegypt.com,PBCBNC,Business news co.,10000.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
AIWTDO,English,article,Daily Observer,Daily Observer,Daily Observer (Gambia),Discontinued,20190805.0,Full Text,Selected Coverage,20150507,20150507,"Daily newspaper focusing on local and international news, sports, business, and politics. Country of origin: Gambia","Daily newspaper focusing on local and international news, sports, business, and politics. Country of origin: Gambia",Monday-Friday,Discontinued,Not available,Does not include tables | This source ceased publication.,ALBWBA,http://p3nlhclust404.shr.prod.phx3.secureserver.net/SharedContent/redirect_1.html,PBOMLD,Observer Media Ltd,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Gambia (GAMB); West Africa (WAFR),20190724
DAOB,English,article,Daily Observer,Daily Observer,Daily Observer (Liberia),Active,,Full Text,Full Coverage,20190419,20190305,"The Daily Observer newspaper is a product of the Liberian Observer Corporation, publishes a wide range of content including politics, business, sports and entertainment. Country of origin: Liberia","The Daily Observer newspaper is a product of the Liberian Observer Corporation, publishes a wide range of content including politics, business, sports and entertainment. Country of origin: Liberia",Daily,Same day as publication date,As available,,ALBWBA,http://www.liberianobserver.com/,PBLOC,Liberian Observer Corporation (LOC),,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Liberia (LIBER); West Africa (WAFR),20210112
DASUN,English,article,Daily Sun,Daily Sun,Daily Sun (South Africa),Active,,Full Text,Full Coverage,20190420,20190409,"National daily newspaper covering regional, national and international news and current affairs including sports and entertainment. Country of origin: South Africa","National daily newspaper covering regional, national and international news and current affairs including sports and entertainment. Country of origin: South Africa",Daily,Same day as publication date,As available,Source is government owned or controlled.,ALBWBA,https://www.dailysun.co.za/,PBMEDTN,Media 24: Newspapers,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
DATRUS,English,article,Daily Trust,Daily Trust,Daily Trust (Nigeria),Active,,Full Text,Full Coverage,20141008,20140915,"Daily Trust is a newspaper from Abuja, Nigeria, published by Media Trust Limited. It provides news related to business, politics, health and sports in Kaduna, Nigeria. This source includes Weekly and Sunday Trust. Country of origin: Nigeria","Daily Trust is a newspaper from Abuja, Nigeria, published by Media Trust Limited. It provides news related to business, politics, health and sports in Kaduna, Nigeria. This source includes Weekly and Sunday Trust. Country of origin: Nigeria",Daily,2 days after publication date,Monday-Friday,,ASINET2,http://www.dailytrust.com.ng,MEDTRU,Media Trust Limited,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
LDBFR,French,article,"Les Dépêches de Brazzaville, Agence d'Information d'Afrique Centrale","Les Dépêches de Brazzaville, Agence d'Information d'Afrique Centrale","Les Dépêches de Brazzaville, Agence d'Information d'Afrique Centrale (French Language)",Active,,Full Text,Full Coverage,20140905,20140116,"Information feed of the Agence d'Information d'Afrique Centrale including the articles of the daily newspaper, Les Dépêches de Brazzaville, and covering the latest social, business, financial and sport news of the Congo bay. Country of origin: Congo Republic","Flux d'information de l'Agence d'Information d'Afrique Centrale incluant les articles du journal quotidien Les Dépêches de Brazzaville et couvrant l'actualité sociale, économique, financière et sportive du bassin du Congo. Pays d'origine: République du Congo","Daily source, irregular weekend edition",As available,As available,,AGAFR,http://www.adiac-congo.com,AGAFR,Agence d'Information d'Afrique Centrale SARL,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Central Africa (CEAFR); Congo Republic (CONGO),20210122
DSKAR,Arabic,article,Le Desk,Le Desk,"Le Desk (Morocco, Arabic Language)",Active,,Full Text,Full Coverage,20200709,20200708,"Le Desk is an independent, interactive and informative online publication from Morocco. It defends curious, tenacious journalism and, above all, it is free from political and economic lobbies. Country of origin: Morocco","Le Desk is an independent, interactive and informative online publication from Morocco. It defends curious, tenacious journalism and, above all, it is free from political and economic lobbies. Country of origin: Morocco",Daily,Start of local business day,"Daily, as available",,ALBWBA,https://ledesk.ma/,PBPULSE,Pulse Media SARL,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210121
DSKFR,French,article,Le Desk,Le Desk,"Le Desk (Morocco, French Language)",Active,,Full Text,Full Coverage,20200709,20200602,"Le Desk is an independent, interactive and informative online publication from Morocco. It defends curious, tenacious journalism and, above all, it is free from political and economic lobbies. Country of origin: Morocco","Le Desk est un site d'informations marocain indépendant et interactif. Son crédo est la défense d’un journalisme curieux et tenace, mais surtout libre de toute forme de lobbys politiques et économiques. Pays d'origine: Maroc",Daily,Start of local business day,"Daily, as available",,ALBWBA,https://ledesk.ma/,PBPULSE,Pulse Media SARL,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210122
DIAMFI,English,article,Diamond Fields Advertiser,Diamond Fields Advertiser,"Diamond Fields Advertiser (Kimberly, South Africa)",Active,,Full Text,Full Coverage,20110429,20110426,"The Diamond Fields Advertiser targets the entire Kimberley and surrounding market area. It is an independent voice for the Northern Cape, by providing business, financial and world news along with sports, entertainment and regional coverage. Country of origin: South Africa","The Diamond Fields Advertiser targets the entire Kimberley and surrounding market area. It is an independent voice for the Northern Cape, by providing business, financial and world news along with sports, entertainment and regional coverage. Country of origin: South Africa",Monday-Friday,Same day as publication date,"6 a.m. (GMT), Monday-Friday",This is being published on a weekly basis temporarily.| Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://diamondfieldsadvertiser.newspaperdirect.com/epaper/viewer.aspx,INONSA,Independent Online,7113.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201120
